"game_date","game_id","location_team","period","stint","team","opp","lineup_team","lineup_opp","secs_game_start","secs_game_end","secs_played","poss_team","pts_team","poss_opp","pts_opp"
2024-06-30,1022400106,"away",2,1,"ATL","NYL","1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 1641650 Haley Jones, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot",600,673,73,2,2,2,0
2024-06-30,1022400106,"home",2,2,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 202250 Tina Charles",673,771,98,2,2,3,5
2024-06-30,1022400106,"away",2,2,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 202250 Tina Charles","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton",673,771,98,3,5,2,2
2024-06-30,1022400106,"home",2,3,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1641650 Haley Jones, 202250 Tina Charles",771,804,33,1,2,1,0
2024-06-30,1022400106,"away",2,3,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1641650 Haley Jones, 202250 Tina Charles","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton",771,804,33,1,0,1,2
2024-06-30,1022400106,"home",2,4,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 203866 Kayla Thornton, 204335 Betnijah Laney-Hamilton","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1641650 Haley Jones, 202250 Tina Charles",804,977,173,6,6,5,4
2024-06-30,1022400106,"away",2,4,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1641650 Haley Jones, 202250 Tina Charles","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 203866 Kayla Thornton, 204335 Betnijah Laney-Hamilton",804,977,173,5,4,6,6
2024-06-30,1022400106,"home",2,5,"NYL","ATL","1627668 Breanna Stewart, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 202250 Tina Charles",977,1040,63,1,2,2,2
2024-06-30,1022400106,"away",2,5,"ATL","NYL","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 202250 Tina Charles","1627668 Breanna Stewart, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton",977,1040,63,2,2,1,2
2024-06-30,1022400106,"home",2,6,"NYL","ATL","1627668 Breanna Stewart, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus",1040,1151.8,111.8,4,6,4,4
2024-06-30,1022400106,"away",2,6,"ATL","NYL","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton",1040,1151.8,111.8,4,4,4,6
2024-06-30,1022400106,"home",2,7,"NYL","ATL","1627668 Breanna Stewart, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 202250 Tina Charles",1151.8,1200,48.2,2,5,2,0
2024-06-30,1022400106,"away",2,7,"ATL","NYL","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 202250 Tina Charles","1627668 Breanna Stewart, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton",1151.8,1200,48.2,2,0,2,5
2024-06-30,1022400106,"home",3,1,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1641650 Haley Jones, 202250 Tina Charles",1200,1387,187,6,8,6,2
2024-06-30,1022400106,"away",3,1,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1641650 Haley Jones, 202250 Tina Charles","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton",1200,1387,187,6,2,6,8
2024-06-30,1022400106,"home",3,2,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 204323 Cheyenne Parker-Tyus",1387,1556,169,5,5,5,2
2024-06-30,1022400106,"away",3,2,"ATL","NYL","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton",1387,1556,169,5,2,5,5
2024-06-30,1022400106,"home",3,3,"NYL","ATL","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 202250 Tina Charles",1556,1604,48,3,3,4,5
2024-06-30,1022400106,"away",3,3,"ATL","NYL","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 202250 Tina Charles","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton",1556,1604,48,4,5,3,3
2024-06-30,1022400106,"home",3,4,"NYL","ATL","1627668 Breanna Stewart, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 202250 Tina Charles",1604,1655,51,2,5,2,4
2024-06-30,1022400106,"away",3,4,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 202250 Tina Charles","1627668 Breanna Stewart, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot, 204335 Betnijah Laney-Hamilton",1604,1655,51,2,4,2,5
2024-06-30,1022400106,"home",3,5,"NYL","ATL","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 204335 Betnijah Laney-Hamilton","1628269 Nia Coffey, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1641650 Haley Jones, 202250 Tina Charles",1655,1704,49,1,0,1,0
2024-06-30,1022400106,"away",3,5,"ATL","NYL","1628269 Nia Coffey, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1641650 Haley Jones, 202250 Tina Charles","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 204335 Betnijah Laney-Hamilton",1655,1704,49,1,0,1,0
2024-06-30,1022400106,"home",3,6,"NYL","ATL","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 204335 Betnijah Laney-Hamilton","1628269 Nia Coffey, 1628277 Allisha Gray, 1641650 Haley Jones, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus",1704,1713,9,1,2,0,0
2024-06-30,1022400106,"away",3,6,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1641650 Haley Jones, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 204335 Betnijah Laney-Hamilton",1704,1713,9,0,0,1,2
2024-06-30,1022400106,"home",3,7,"NYL","ATL","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton","1628269 Nia Coffey, 1628277 Allisha Gray, 1641650 Haley Jones, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus",1713,1748.5,35.5,1,1,1,0
2024-06-30,1022400106,"away",3,7,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1641650 Haley Jones, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton",1713,1748.5,35.5,1,0,1,1
2024-06-30,1022400106,"home",3,8,"NYL","ATL","1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton","1628269 Nia Coffey, 1628277 Allisha Gray, 1641650 Haley Jones, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus",1748.5,1800,51.5,2,0,2,5
2024-06-30,1022400106,"away",3,8,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1641650 Haley Jones, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus","1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton",1748.5,1800,51.5,2,5,2,0
2024-06-30,1022400106,"home",4,1,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 203866 Kayla Thornton","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus",1800,1837,37,1,1,1,0
2024-06-30,1022400106,"away",4,1,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 203866 Kayla Thornton",1800,1837,37,1,0,1,1
2024-06-30,1022400106,"home",4,2,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 204335 Betnijah Laney-Hamilton","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus",1837,1976,139,6,6,5,0
2024-06-30,1022400106,"away",4,2,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 204335 Betnijah Laney-Hamilton",1837,1976,139,5,0,6,6
2024-06-30,1022400106,"home",4,3,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 204335 Betnijah Laney-Hamilton","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus",1976,2400,424,13,14,13,16
2024-06-30,1022400106,"away",4,3,"ATL","NYL","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 202250 Tina Charles, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 204335 Betnijah Laney-Hamilton",1976,2400,424,13,16,13,14
2024-06-30,1022400107,"home",1,1,"CHI","MIN","1628263 Lindsay Allen, 1629497 Marina Mabrey, 1630150 Chennedy Carter, 1642289 Kamilla Cardoso, 1642291 Angel Reese","1627675 Courtney Williams, 1629483 Napheesa Collier, 1629501 Alanna Smith, 1629524 Bridget Carleton, 203825 Kayla McBride",0,369,369,13,14,12,11
2024-06-30,1022400107,"away",1,1,"MIN","CHI","1627675 Courtney Williams, 1629483 Napheesa Collier, 1629501 Alanna Smith, 1629524 Bridget Carleton, 203825 Kayla McBride","1628263 Lindsay Allen, 1629497 Marina Mabrey, 1630150 Chennedy Carter, 1642289 Kamilla Cardoso, 1642291 Angel Reese",0,369,369,12,11,13,14
2024-06-30,1022400107,"home",1,2,"CHI","MIN","1628263 Lindsay Allen, 1629497 Marina Mabrey, 1630150 Chennedy Carter, 1642291 Angel Reese, 204330 Isabelle Harrison","1627675 Courtney Williams, 1629483 Napheesa Collier, 1629501 Alanna Smith, 1629524 Bridget Carleton, 203825 Kayla McBride",369,400,31,1,2,1,0
2024-06-30,1022400107,"away",1,2,"MIN","CHI","1627675 Courtney Williams, 1629483 Napheesa Collier, 1629501 Alanna Smith, 1629524 Bridget Carleton, 203825 Kayla McBride","1628263 Lindsay Allen, 1629497 Marina Mabrey, 1630150 Chennedy Carter, 1642291 Angel Reese, 204330 Isabelle Harrison",369,400,31,1,0,1,2
